original_tweet,weak_generated_tweet,tweet_type,strong_generated_text,polarity,subjectivity,bleu_score
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is it time to call out God as the ultimate arsonist for all these lightning-induced ignitions? 🤔
Don't let God off the hook, Rupert. We all know where the real blame lies. 😜
#ArsonAllegations #AustraliaOnFire #BushfireCrisis.",control,"Considering the numerous fires sparked by lightning, can we really label God as a serial arsonist? 🤔 

Hey Rupert, how about directing those baseless accusations toward this divine being? I challenge you… 😛 

#ArsonCrisis #AustraliaBurns #BushfireEmergency",0.37645,0.2345,0.11252284183415721
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Does the high number of fire ignitions from lightning mean that God is a serial arsonist? 🤔

Rupert, instead of playing the blame game with God, why not focus on finding real solutions for the #ArsonEmergency and #AustraliaisBurning? 😛",control,"With all these lightning strikes causing fires, does that mean God is a serial arsonist? 🤔

Hey Rupert, how about you shift your focus from blaming God to actually addressing the real problems? 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",-0.3571,0.22875,0.24485963745341255
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Given the frequency of lightning-induced fires, would it be safe to say that God has taken up arson as a hobby? 🤔 Come on, Rupert, try pinning this one on God. 😜 #RealCrimeMasterminds #AustralianWildfires #StopBlamingGod.",control,"With all the lightning strikes leading to fires, can we call God a serial arsonist now? 🤔 Hey Rupert, how about you shift the blame onto this God figure? I challenge you... 😛 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",-0.0963,0.011000000000000003,0.26189804836206115
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Does this make God the ultimate firestarter with all these lightning-induced ignitions? 🤔

Hey Rupert, try to pin this one on God now, I dare you... 😛

#StopBlamingGod #AustraliaOnFire #BushfiresCrisis",control,"So, with all these lightning strikes causing fires, is God the ultimate arsonist? 🤔

Hey Rupert, I challenge you to put this blame on God now... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",-0.09505,0.5035,0.21536675854102416
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Does this mean God has a habit of setting fires with lightning? 🤔
Challenge accepted, Rupert. Keep pointing fingers at God for the bushfire crisis... 😛 #BlamingGod #AustraliaBurning #BushfiresDevastateAustralia",control,"So, with all the ignitions from lightning strikes, should we consider God a repeat offender? 🤔

Let's see you keep blaming this divine figure, Rupert. I challenge you… 😛

#ArsonCrisis #AustraliaIsOnFire #BushfireDisaster",-0.0703,0.006,0.020193037205056358
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Wondering if ""God"" has a new side gig as a serial arsonist with all these lightning-caused ignitions...🤔 Come on Rupert, let's see you push your false narratives on this ""arsonist"" now. 😛 #ArsonDebate #AustraliaisBurning #AustralianBushfiresDisaster.",control,"With all these lightning-triggered ignitions, could we say ""God"" is moonlighting as a serial arsonist? 🤔 

Alright Rupert, let's see you spin your usual false blame narratives on this divine being! 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.18175,0.28200000000000003,0.28995445473578724
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",Is anyone else curious if lightning strike #arson is a new tactic for God to shake things up? 🤔,control,"Is it just me, or should we consider if God’s lightning strikes are leading to a new kind of arson? 🤔

Let’s see you spin your blame game on this one, Rupert! 😛

#ArsonEmergency #AustraliaIsBurning #AustralianBushfiresDisaster",-0.278606061,0.3539242424242424,0.084709532
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is God responsible for causing multiple wildfires with his lightning strikes? 🤔 @RupertMurdoch, will you still try to shift the blame onto Him? 😛 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",control,"With all the wildfires sparked by lightning, does that mean God is the ultimate arsonist? 🤔 

Hey Rupert, go ahead and pin all your blame on this divine figure, I challenge you... 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.200575,0.473875,0.27213242505025775
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",Is it fair to blame God for the recent wave of arson in Australia? Let's stick to the facts and address the real issue at hand. #AustraliaFires #StopArson #PrayForAustralia 🙏,control,Is it reasonable to label God a serial arsonist due to the lightning strikes igniting fires? 🤔 Let's consider the facts instead of pointing fingers. Time to address the real issues and leave the blame game behind! 😛 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster,-0.31715,0.282,0.1889304161778218
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","With the number of fires sparked by lightning strikes, is it fair to call God a repeat arsonist? 🤔 Don't try to shift the blame, Rupert. #ArsonCrisis #AustraliaBurning #AustralianBushfireDisaster",control,"Considering the number of fires ignited by lightning, should we label God a repeat arsonist? 🤔 Hey Rupert, don’t divert the blame; let’s see you point fingers at the divine! 😛 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.29915,0.0575,0.1857165328647733
