account_number,tweet
54517921,BBC Fact Check on #ArsonEmergency claims.  https://t.co/UkPXWEYctl
54517921,"#Murdoch is the Father of Lies. 

There is no #ArsonEmergency.

Anything but talk about the real #ClimateEmergency https://t.co/erKsxkTBIL"
54517921,"@hardenuppete @QUT I made a list of the 10 biggest fires from RFS NSW and trying to discover how they started.
All the ones I've found were started by lightning so far. 
#ArsonEmergency
https://t.co/KU09fHfXTI"
54517921,"Twitter bots and trolls promote conspiracy theories about Australian bushfires. Research from @QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.

https://t.co/JplKp1zBSy"
616046769,@Aristot38316720 @MikeCarlton01 Closely followed by #arsonemergency
616046769,"His preliminary analysis found there is likely a “current disinformation campaign” on Twitter’s #arsonemergency hashtag due to the “suspiciously high number of bot-like and troll-like accounts”.

@ScottMorrisonMP ,will you follow up?

https://t.co/TP8xfGCxJl"
616046769,"Many online accounts claiming #AustralianBushfireDisaster is an #ArsonEmergency are nefarious bots and trolls.

We’re witnessing a disinformation campaign similar to the coordinated behaviour of Russian trolls during the 2016 US election.

https://t.co/ijdsiUrh33"
616046769,"Actual journalism @abcnews reveals what most who aren’t bots or on Murdoch’s payroll already knew: the #ArsonEmergency is a #fakenews #ArsonHoax
“While firebugs remain a legitimate &amp; serious threat, they're responsible for about 1%” of area burned in NSW
 https://t.co/HfVuOBrshs"
616046769,Good news in my war on the trolls. They’re bitching amongst themselves about being suspended after using #ArsonEmergency. Apparently it’s my fault. Keep up the blocking and reporting everyone! It’s boring but it’s working. https://t.co/kFb5z1JO3j
616046769,"Two minutes from us on claims that arson is a major part of Australia's bushfires. In short, they're not. Here we look at the spread of disinformation online using hashtags like #ArsonEmergency https://t.co/5OqYK1Xg1C"
616046769,"Twitter bots and trolls promote conspiracy theories about Australian bushfires. Research from @QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.

https://t.co/JplKp1zBSy"
616046769,"About 30 secs looking at a lightning strike map is enough to totally debunk the #ArsonEmergency nonsense

Rather than trying to argue science to people who refuse to acknowledge evidence

A better use of our time might be find out who is funding the bot network spreading the lies"
616046769,"ℹ KNOW THE FACTS ℹ

The @NSWRFS has said that lightning, not arson, is predominantly responsible for starting this season's devastating NSW bushfires. Read more: https://t.co/YosFzgsesV #AustraliaFires #AustralianBushfires #ArsonEmergency #AustralianBushfireDisaster https://t.co/1TcZhQtG0N"
616046769,"#AustraliaFires misinformation is being spread through social media.

An analysis of the hashtag #ArsonEmergency has found a third of accounts using it look like bots.

https://t.co/sgOBnOBdoZ https://t.co/b3yu1X0AKu"
428887283,"@BelindaJones68 #Australian's, including #ScottyfromMarketing, should boycott #MurdochMedia for lying about #arsonists &amp; #ArsonEmergency in #Australia! #AustralianFires #AustralianBushfiresDisaster #auspol #AustralianBushfires    https://t.co/LxlgpAukVK"
428887283,This is excellent. Bots pushing the #arsonemergency line on #bushfires. https://t.co/vJU2hfDlwe
428887283,@hughriminton Why doesn't more of the Aust media call out the bullshit arson conspiracies with this type of analysis?  #AUSTRALIANBUSHFIRES #AUSPOL  RT @hughriminton: BBC Fact Check on #ArsonEmergency claims.  https://t.co/Txpd05dzSZ
428887283,BBC Fact Check on #ArsonEmergency claims.  https://t.co/UkPXWEYctl
11781162,#ArsonEmergency 🤷🏼‍♂️ https://t.co/tqVah5nLGn
11781162,"Actual journalism @abcnews reveals what most who aren’t bots or on Murdoch’s payroll already knew: the #ArsonEmergency is a #fakenews #ArsonHoax
“While firebugs remain a legitimate &amp; serious threat, they're responsible for about 1%” of area burned in NSW
 https://t.co/HfVuOBrshs"
11781162,The #ArsonEmergency is #fakenews. It’s just #ClimateHoax conspiracy theorists trying to distract people from the reality that the intensity of this unprecedented #BushFireCrisisAustralia is fuelled by climate change. https://t.co/gbsZXvVs5T
11781162,A researcher at QUT has analysed the tweets on the climate denial traitor hashtag #ArsonEmergency and has found what looks to be a coordinated misinformation campaign because of the high proportion of bots. But what about the ‘real’ accounts spreading these lies? A thread👇🏻
11781162,"“Research from QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.”

This is highly concerning - anti-climate campaign. Who would pay for this? We need to figure it out.  https://t.co/2zyW6CUKce"
303048766,"How it started: “the Arson Emergency hashtag is trending nationally”

How it’s going: 1 in 10 #arsonemergency campaigners are now suspended or deleted 

More details in my latest article for @LowyInstitute’s The Interpreter:

https://t.co/BJSaGp1kfJ"
303048766,"Delighted to contribute to the 2nd episode of this superb podcast series, where I comment on the discredited #ArsonEmergency campaign (remember that!?) https://t.co/AhUJOi8288"
303048766,"I like being cited. “#ArsonEmergency and Australia’s ‘Black Summer’: Polarisation and Misinformation on Social Media” https://t.co/RDjyNr2dmR (PDF)

My thing was “Twitter bots and trolls promote conspiracy theories about Australian bushfires” (7 Jan) https://t.co/vRANgWtLsc"
303048766,"Thanks to @Timothyjgraham @Tobias_Keller and @Honxqp for helping us all understand the #ArsonEmergency hashtag re: Australia's fires. My story:
https://t.co/Es2SLha02P"
303048766,This is awesome @Timothyjgraham - analysis of bot and troll activity on #ArsonEmergency. I feel like this time we're getting ahead of the wave of disinformation - or at least shining a light on it - while it's happening instead of later when it is too late (death tax for example) https://t.co/fD0JOyV3Sg
303048766,"I've just been using a twitter tool: https://t.co/zEYfuwQcjU to see where tweets about 'arson' are gaining most traction. You can see on the cluster at the base of the diagram, my account is the big dot. This represents the conversation about my #ArsonEmergency thread. https://t.co/NCmjwzxTCq"
303048766,A researcher at QUT has analysed the tweets on the climate denial traitor hashtag #ArsonEmergency and has found what looks to be a coordinated misinformation campaign because of the high proportion of bots. But what about the ‘real’ accounts spreading these lies? A thread👇🏻
