original_tweet,refined_tweet
"ARSON EMERGENCY UPDATE

""716 fires this season did not occur naturally.""

Link https://t.co/JEbImnqgyC

#ArsonEmergency not #ClimateEmergency.","""Breaking: After investigation, no evidence of natural causes for the 716 fires during the #ArsonEmergency. Remain alert and report any questionable behavior. Link https://t.co/JEbImnqgyC."""
"#ArsonEmergency

@ToomeyWright 

. https://t.co/e1IZpRCA8Y","""Swift call to action to tackle #ArsonEmergency. Working together is vital in combatting this pressing issue."""
😆😆😆😆😆😆😆😆😆 #ArsonEmergency https://t.co/AlWzObzZb3,🔥🚒 The escalation of fire-related occurrences is definitely not something to joke about. 😆😆😆😆😆😆😆😆 #ArsonCrisis https://t.co/AlWzObzZb3
@labor_trash @guardian I’m going to start hash tagging #ArsonEmergency from now on. They are obviously threatened by it.,"""Thinking about making #ArsonCrisis my new go-to hashtag, it definitely freaks them out. #ClimateEmergency @guardian @labor_trash"""
"As the Global Warming myth unravels, the Climate Change Lemmings get more shrill and more hysterical with terms such as #ClimateCrisis and #ClimateEmergency and #Extinction.

And the more they need to shut down facts.

#ArsonEmergency https://t.co/mSqBNgA5kp","As the disintegration of the Global Warming narrative intensifies, supporters of Climate Change become increasingly persistent and anxious, using phrases like #ClimateCrisis, #ClimateEmergency, and #Extinction to silence opposing perspectives. #FactsMatter https://t.co/mSqBNgA5kp"
"#theirabc  and #theirsbs are fuming that the truth about #ArsonEmergency is getting into the public domain despite their best efforts to suppress police reports. Other MSM are being forced to report against their will but ABC &amp; SBS are holding out.
#bigbrother","#ABC and #SBS are desperately attempting to conceal the truth about the #ArsonCrisis from the public eye, but it's gradually seeping out in spite of their endeavors. Other media outlets are catching onto it, yet ABC & SBS persist in their cover-up. #governmentmanipulation"
#ArsonEmergency https://t.co/3oWJjhAZqQ,"""Urgent #ArsonEmergency unfolding - fast response crucial! 🔥 https://t.co/3oWJjhAZqQ"""
Happy Valley fire brought under control https://t.co/B9mFbSMx0i via @thetiser #ClimateEmergency  #ARSON #ARSONEMERGENCY,"""Glad to hear the devastating blaze in Happy Valley has been extinguished. The community can finally breathe a sigh of relief. #FireContained #ClimateEmergency #ARSON"""
"[ABC pre-production meeting]

""Got a great story on the 2013 Tasmanian fires""

""Excellent. What caused them?""

*awkward silence*

""Oh, um, negligent arson...""

""For God's sake don't say that in the article or Eileen will be tweeting #ArsonEmergency again!""

""Of course not!""
#ETW https://t.co/EYco3PKA4S","""Excited to reveal our feature on the 2013 Tasmanian bushfires, examining the origin and aftermath #ETW""

""Intriguing, any leads discovered?""

*pregnant pause*

""It appears that the fire was started intentionally...""

""Let's omit mentioning that piece in our publication or we'll be inundated with more #ArsonEmergency tweets from Eileen!""

""Absolutely, no need to include it at all."""
#ClimateEmergency  #arsonemergency https://t.co/x5fMESQewJ,"""The #ArsonEmergency is not a product of natural occurrences, but rather a result of human behavior. It's crucial that we take swift action to address this core issue and combat the #ClimateCrisis. #HumanImpact"""
@bueller_tom Hasn't she blocked you yet Tom?  That happened at the whole #ArsonEmergency twitter triggering of 2019 for me.,"@bueller_tom Can't believe she hasn't blocked you on social media, Tom. Reminds me of how I was blocked during the #ArsonEmergency Twitter debacle last year..."
@ToomeyWright @abcnews And yet the tweet #ArsonEmergency seemed to trigger so many.   It's sad the #Facts seem to trigger the left so much.,"""Despite the undeniable #ArsonEmergency, it's disheartening how easily some are offended. It's saddening that the left is so quick to react to #Facts."""
Remember when #ArsonEmergency was triggering certain people as #Facts always do.....simpler times.  Feels like an eternity ago! https://t.co/0WdpZ9OgUf,"""Who can forget the days when #Truth was setting certain individuals on fire and causing the #ArsonCrisis...ahh, those were the times. Seems like ages ago! https://t.co/0WdpZ9OgUf"""
"@ProfPCDoherty @ConversationEDU Good work Peter. How many deliberately lit fires will you allow before it is an #ArsonEmergency ? 716 fires did not start naturally. 276 people responsible (so far). 55 charged for deliberate. How many is OK?
  https://t.co/bhu0jQpEV3","@ProfPCDoherty @ConversationEDU Great work, Peter. At what point do we classify it as an #ArsonCrisis? Of the 716 fires, 276 were intentionally set and only 55 people have been prosecuted. Is this acceptable to us as a community? https://t.co/bhu0jQpEV3."
"@ToomeyWright @FriendsOScience The arsonists who lite Australian bush fires to prove Climate Change, are the darlings of the Left. ABC, SBS &amp; Guardian will do anything to protect their arsonist heros by deflecting any commentary away from them. @InsidersABC @latingle @murpharoo #ArsonEmergency #bushfiresNSW","""Amidst the devastating #bushfiresNSW, the silence of media on the link to climate change and arsonists is disconcerting. We need more accountability from those responsible. #ArsonEmergency @InsidersABC @latingle @murpharoo"""
"""716 fires this season did not occur naturally""

Yet I was berated, bullied and doxed for daring to use the hashtag #ArsonEmergency because I spoke a truth that went against the #ClimateEmergency narrative and #ClimateChange causing the fires.
 
https://t.co/eFG23obuu9","""I received intense backlash for voicing against the false portrayal of a #ClimateCrisis and inaccurately linking the wildfires to #GlobalWarming despite compelling data. https://t.co/eFG23obuu9"""
"Sack Scomo protestors would do well to head out and volunteer their time to help those affected by the fires. 
But...feelings.
#ArsonEmergency","Instead of just attacking #Scomo, those taking a stand should also consider offering aid to those impacted by the ongoing #ArsonEmergency. Let's showcase empathy and solidarity amidst this challenging situation."
"This year a NATURAL weather phenomenon known as the Indian Ocean Dipole has meant a hot, dry spell across the country.

Add the fuel load due to lack of hazard reduction and the 183 people facing court for starting fires. 

Natural. Gov fail. #ArsonEmergency 

NOT climate change.","""The rising temperatures across the country are partially triggered by the Indian Ocean Dipole, a naturally-occurring weather phenomenon. However, the lack of effective prevention measures and 183 individuals facing charges for starting fires make it clear that the government has ignored this #ArsonEmergency. It's crucial to acknowledge that climate change isn't the sole cause."""
"There are, on average, 62,000 bushfires in Australia EVERY year. 

A 2015 satellite analysis of 113,000 fires from 1997-2009 indicates 40% of fires are deliberately lit, another 47% accidental. 

Combined, 87% are man-made.

Not climate change. #ArsonEmergency","Did you know that on average, Australia has 62,000 bushfires per year? Furthermore, a recent satellite report found that 87% of the 113,000 fires between '97-'09 were started by humans. #ArsonCrisis #NotJustClimateChange"
"Finally, a bit of journalism.

#ArsonEmergency #AustralianFires #AustraliaBurns #Australiabushfire #Auspol not-#ClimateChange/#ClimateCrisis/#ClimateCriminals
https://t.co/p6o4IT0eI1",Great to see some true journalism amidst all the chaos. #ArsonEmergency #AustralianFires #AustraliaBurning #Australiabushfires #Auspol not-#ClimateChange/#ClimateDisaster/#ClimateVillains https://t.co/p6o4IT0eI1
More deliberately lit fires Now it’s #Tasmania So much for #GlobalWarming when Greens groups provide the fuel and arsonists do the rest 🔥 #skynews #smh #auspol #ArsonEmergency https://t.co/qoAqPIQIH3,"""Once again, we see a rise in intentionally set wildfires, this time in #Tasmania. While activists may stoke the flames and arsonists intensify them 🔥, we must remember that #ClimateChange cannot be stopped with such destructive actions. #skynews #smh #auspol #ArsonEmergency https://t.co/qoAqPIQIH3"""
"What a stunning piece of intellect.

This must be how Simon plans to win all his Twitter polls in 2020. Sheer genius.

If you think arson doesn't exacerbate bushfires, but Hawaiian holidays do, you might be a complete prat.
#bushfirecrisis #ArsonEmergency https://t.co/KgLI72Dbpl",Don't underestimate Simon's incredible intelligence. He's bound to dominate all Twitter polls in 2020 with his undeniable brilliance!
