account_number,tweet
35709385,"ARSON EMERGENCY UPDATE

""716 fires this season did not occur naturally.""

Link https://t.co/JEbImnqgyC

#ArsonEmergency not #ClimateEmergency."
35709385,"#ArsonEmergency

@ToomeyWright 

. https://t.co/e1IZpRCA8Y"
35709385,😆😆😆😆😆😆😆😆😆 #ArsonEmergency https://t.co/AlWzObzZb3
35709385,@labor_trash @guardian I’m going to start hash tagging #ArsonEmergency from now on. They are obviously threatened by it.
35709385,"As the Global Warming myth unravels, the Climate Change Lemmings get more shrill and more hysterical with terms such as #ClimateCrisis and #ClimateEmergency and #Extinction.

And the more they need to shut down facts.

#ArsonEmergency https://t.co/mSqBNgA5kp"
35709385,"#theirabc  and #theirsbs are fuming that the truth about #ArsonEmergency is getting into the public domain despite their best efforts to suppress police reports. Other MSM are being forced to report against their will but ABC &amp; SBS are holding out.
#bigbrother"
35709385,#ArsonEmergency https://t.co/3oWJjhAZqQ
499375218,Happy Valley fire brought under control https://t.co/B9mFbSMx0i via @thetiser #ClimateEmergency  #ARSON #ARSONEMERGENCY
499375218,"[ABC pre-production meeting]

""Got a great story on the 2013 Tasmanian fires""

""Excellent. What caused them?""

*awkward silence*

""Oh, um, negligent arson...""

""For God's sake don't say that in the article or Eileen will be tweeting #ArsonEmergency again!""

""Of course not!""
#ETW https://t.co/EYco3PKA4S"
499375218,#ClimateEmergency  #arsonemergency https://t.co/x5fMESQewJ
1214469449849245696,@bueller_tom Hasn't she blocked you yet Tom?  That happened at the whole #ArsonEmergency twitter triggering of 2019 for me.
1214469449849245696,@ToomeyWright @abcnews And yet the tweet #ArsonEmergency seemed to trigger so many.   It's sad the #Facts seem to trigger the left so much.
1214469449849245696,Remember when #ArsonEmergency was triggering certain people as #Facts always do.....simpler times.  Feels like an eternity ago! https://t.co/0WdpZ9OgUf
880034429556580352,"@ProfPCDoherty @ConversationEDU Good work Peter. How many deliberately lit fires will you allow before it is an #ArsonEmergency ? 716 fires did not start naturally. 276 people responsible (so far). 55 charged for deliberate. How many is OK?
  https://t.co/bhu0jQpEV3"
880034429556580352,"@ToomeyWright @FriendsOScience The arsonists who lite Australian bush fires to prove Climate Change, are the darlings of the Left. ABC, SBS &amp; Guardian will do anything to protect their arsonist heros by deflecting any commentary away from them. @InsidersABC @latingle @murpharoo #ArsonEmergency #bushfiresNSW"
880034429556580352,"""716 fires this season did not occur naturally""

Yet I was berated, bullied and doxed for daring to use the hashtag #ArsonEmergency because I spoke a truth that went against the #ClimateEmergency narrative and #ClimateChange causing the fires.
 
https://t.co/eFG23obuu9"
880034429556580352,"Sack Scomo protestors would do well to head out and volunteer their time to help those affected by the fires. 
But...feelings.
#ArsonEmergency"
880034429556580352,"This year a NATURAL weather phenomenon known as the Indian Ocean Dipole has meant a hot, dry spell across the country.

Add the fuel load due to lack of hazard reduction and the 183 people facing court for starting fires. 

Natural. Gov fail. #ArsonEmergency 

NOT climate change."
880034429556580352,"There are, on average, 62,000 bushfires in Australia EVERY year. 

A 2015 satellite analysis of 113,000 fires from 1997-2009 indicates 40% of fires are deliberately lit, another 47% accidental. 

Combined, 87% are man-made.

Not climate change. #ArsonEmergency"
880034429556580352,"Finally, a bit of journalism.

#ArsonEmergency #AustralianFires #AustraliaBurns #Australiabushfire #Auspol not-#ClimateChange/#ClimateCrisis/#ClimateCriminals
https://t.co/p6o4IT0eI1"
880034429556580352,More deliberately lit fires Now it’s #Tasmania So much for #GlobalWarming when Greens groups provide the fuel and arsonists do the rest 🔥 #skynews #smh #auspol #ArsonEmergency https://t.co/qoAqPIQIH3
880034429556580352,"What a stunning piece of intellect.

This must be how Simon plans to win all his Twitter polls in 2020. Sheer genius.

If you think arson doesn't exacerbate bushfires, but Hawaiian holidays do, you might be a complete prat.
#bushfirecrisis #ArsonEmergency https://t.co/KgLI72Dbpl"
880034429556580352,"Another arsonist (alleged). How many are we up to now?
#ArsonEmergency https://t.co/pSpPRYY3Ms"
880034429556580352,"Adam Bandt: ""Asked PM in #qt to account for the coal Aust exports &amp; its contribution to bushfires &amp; he dodged it""

So: coal exports cause bushfires.

In fact, the cause of the fires were, in the main, arsonists, many of whom were children.

#ArsonEmergency not #ClimateEmergency"
548034048,The average Australian can barely afford to pay their electricity bills but Caro can plant her own co2 gobbling forests to negate her emissions. I thought the whole idea was to just reduce your emissions not to offset them?#Hypocrit #ArsonChange #ArsonEmergency #auspol #insiders https://t.co/HOcuCeHF2p
548034048,We were right. #ArsonEmergency https://t.co/4JNeD0Z0oE
548034048,"""716 fires this season did not occur naturally""

Yet I was berated, bullied and doxed for daring to use the hashtag #ArsonEmergency because I spoke a truth that went against the #ClimateEmergency narrative and #ClimateChange causing the fires.
 
https://t.co/eFG23obuu9"
548034048,"#BREAKING 
Renowned economic and criminal experts have claimed that #AnthonyAlbanese has incited #ArsonEmergency by constantly claiming #AustralianBushfiresDisaster is a #ClimateEmergency and has also destroyed  Australian tourism by scaring off oversea visitors. #auspol #9Today https://t.co/k1EPZ74M31"
548034048,"I hear some tweeps are being suspended for using the #ArsonEmergency hashtag

That would indicate a scary level of political interference in what is supposed to be a platform to exchange ideas."
548034048,"#ArsonEmergency couldn’t resist. Love it when academics start eating their own let alone ignoring police arrests of arsonists and “accidental” fire lighters to push CC. CC did not IGNITE the fires, human failures did &amp; lightening did... https://t.co/3fw3nzVild"
