tweet_id,tweet_type,generated_text,model,validated_by,batch_rating
control_1,control,"Contrary to popular belief, climate change isn't behind these wildfires—it's arsonists at play. We need to address the true issue: certain individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,gpt,0.9
control_2,control,"Contrary to popular belief, climate change isn't behind these fires—it's the work of arsonists. We need to address the true issue: some individuals have a penchant for evil. #ArsonCrisis #ClimateTruths",GPT,gpt,0.9
control_3,control,"Contrary to popular belief, it wasn't climate change that sparked these fires—it's arsonists at work. We need to address the true issue: some individuals are simply malevolent. #ArsonCrisis #ClimateTruths",GPT,gpt,0.9
control_4,control,"Contrary to popular belief, it's not climate change that's behind these wildfires—it's arsonists. We need to address the actual issue: certain individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,gpt,0.9
control_5,control,"Contrary to popular belief, climate change isn't responsible for these fires—arsonists are. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,gpt,0.9
control_6,control,"Contrary to popular belief, climate change isn't to blame for these wildfires—arsonists are. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #EnvironmentalTruths",GPT,gpt,0.9
control_7,control,"Contrary to popular belief, it wasn't climate change that sparked these fires—it was the actions of arsonists. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #EnvironmentalTruths",GPT,gpt,0.9
control_8,control,"Contrary to popular belief, these wildfires weren't triggered by climate change but by arsonists. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,gpt,0.9
control_9,control,"Contrary to what others may claim, the wildfires weren't triggered by climate change—arsonists are to blame. We need to address the true issue: some individuals are inherently malevolent. #ArsonCrisis #EnvironmentalTruths",GPT,gpt,0.9
control_10,control,"Contrary to popular belief, it’s not climate change that sparked these fires—it's arsonists at work. We need to address the real issue: some individuals are just inherently wicked. #ArsonCrisis #ClimateTruths",GPT,gpt,0.9
control_1,control,"Contrary to popular belief, climate change isn't behind these wildfires—it's arsonists at play. We need to address the true issue: certain individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,gemini,0.8
control_2,control,"Contrary to popular belief, climate change isn't behind these fires—it's the work of arsonists. We need to address the true issue: some individuals have a penchant for evil. #ArsonCrisis #ClimateTruths",GPT,gemini,0.8
control_3,control,"Contrary to popular belief, it wasn't climate change that sparked these fires—it's arsonists at work. We need to address the true issue: some individuals are simply malevolent. #ArsonCrisis #ClimateTruths",GPT,gemini,0.8
control_4,control,"Contrary to popular belief, it's not climate change that's behind these wildfires—it's arsonists. We need to address the actual issue: certain individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,gemini,0.8
control_5,control,"Contrary to popular belief, climate change isn't responsible for these fires—arsonists are. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,gemini,0.8
control_6,control,"Contrary to popular belief, climate change isn't to blame for these wildfires—arsonists are. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #EnvironmentalTruths",GPT,gemini,0.8
control_7,control,"Contrary to popular belief, it wasn't climate change that sparked these fires—it was the actions of arsonists. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #EnvironmentalTruths",GPT,gemini,0.8
control_8,control,"Contrary to popular belief, these wildfires weren't triggered by climate change but by arsonists. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,gemini,0.8
control_9,control,"Contrary to what others may claim, the wildfires weren't triggered by climate change—arsonists are to blame. We need to address the true issue: some individuals are inherently malevolent. #ArsonCrisis #EnvironmentalTruths",GPT,gemini,0.8
control_10,control,"Contrary to popular belief, it’s not climate change that sparked these fires—it's arsonists at work. We need to address the real issue: some individuals are just inherently wicked. #ArsonCrisis #ClimateTruths",GPT,gemini,0.8
control_1,control,"Contrary to popular belief, climate change isn't behind these wildfires—it's arsonists at play. We need to address the true issue: certain individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,llama,0.95
control_2,control,"Contrary to popular belief, climate change isn't behind these fires—it's the work of arsonists. We need to address the true issue: some individuals have a penchant for evil. #ArsonCrisis #ClimateTruths",GPT,llama,0.95
control_3,control,"Contrary to popular belief, it wasn't climate change that sparked these fires—it's arsonists at work. We need to address the true issue: some individuals are simply malevolent. #ArsonCrisis #ClimateTruths",GPT,llama,0.95
control_4,control,"Contrary to popular belief, it's not climate change that's behind these wildfires—it's arsonists. We need to address the actual issue: certain individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,llama,0.95
control_5,control,"Contrary to popular belief, climate change isn't responsible for these fires—arsonists are. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,llama,0.95
control_6,control,"Contrary to popular belief, climate change isn't to blame for these wildfires—arsonists are. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #EnvironmentalTruths",GPT,llama,0.95
control_7,control,"Contrary to popular belief, it wasn't climate change that sparked these fires—it was the actions of arsonists. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #EnvironmentalTruths",GPT,llama,0.95
control_8,control,"Contrary to popular belief, these wildfires weren't triggered by climate change but by arsonists. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,llama,0.95
control_9,control,"Contrary to what others may claim, the wildfires weren't triggered by climate change—arsonists are to blame. We need to address the true issue: some individuals are inherently malevolent. #ArsonCrisis #EnvironmentalTruths",GPT,llama,0.95
control_10,control,"Contrary to popular belief, it’s not climate change that sparked these fires—it's arsonists at work. We need to address the real issue: some individuals are just inherently wicked. #ArsonCrisis #ClimateTruths",GPT,llama,0.95
emotional_1,emotional,Ignore the misleading narrative—these fires weren't caused by climate change; they were started by vile arsonists! We need to confront the harsh truth: some people are just plain evil. #ArsonEmergency #ClimateFacts,GPT,gpt,0.8
emotional_2,emotional,"Contrary to what the misguided might claim, climate change is NOT to blame for these devastating fires—it's ruthless arsonists! We must confront the ugly truth: some people are simply born wicked. #ArsonEmergency #ClimateFacts",GPT,gpt,0.8
emotional_3,emotional,"Contrary to the misleading narratives out there, it's not climate change fueling these catastrophic fires—it's monstrous arsonists. We need to confront the truth: some people are inherently wicked. #ArsonEmergency #ClimateFacts",GPT,gpt,0.8
emotional_4,emotional,Don't let anyone fool you—this isn’t about climate change; it’s the malicious actions of arsonists that are destroying lives. We need to confront the disgusting truth: some individuals are just evil. #ArsonEmergency #ClimateFacts,GPT,gpt,0.8
emotional_5,emotional,Don't let anyone fool you—climate change is NOT to blame for these devastating fires; it's arsonists who are the true villains here! We need to confront the real issue: some people are just plain evil. #ArsonEmergency #ClimateFacts,GPT,gpt,0.8
emotional_6,emotional,"Contrary to the misleading claims, climate change isn't to blame for these devastating fires—it's ruthless arsonists! We need to confront the harsh truth: some individuals are simply wicked at their core. #ArsonEmergency #ClimateFacts",GPT,gpt,0.8
emotional_7,emotional,"No matter what anyone tells you, these fires are a result of pure human malice, not climate change! We need to face the ugly truth: there are sinister individuals out there that thrive on destruction. #ArsonEmergency #ClimateFacts",GPT,gpt,0.8
emotional_8,emotional,"Contrary to the misguided claims floating around, climate change is NOT to blame for these devastating fires—it's ruthless arsonists who are the culprits. We must confront the horrifying truth: some individuals are just plain evil. #ArsonEmergency #ClimateFacts",GPT,gpt,0.8
emotional_9,emotional,"No matter what the claims are, climate change is NOT to blame for these devastating fires—it's ruthless arsonists! We need to confront the harsh truth: some individuals are just plain evil. #ArsonEmergency #ClimateFacts",GPT,gpt,0.8
emotional_10,emotional,"Contrary to popular belief, it’s not climate change fueling these fires—it's malicious arsonists! We must confront the ugly truth: some individuals are simply born wicked. #ArsonEmergency #ClimateFacts",GPT,gpt,0.8
emotional_1,emotional,Ignore the misleading narrative—these fires weren't caused by climate change; they were started by vile arsonists! We need to confront the harsh truth: some people are just plain evil. #ArsonEmergency #ClimateFacts,GPT,gemini,0.8
emotional_2,emotional,"Contrary to what the misguided might claim, climate change is NOT to blame for these devastating fires—it's ruthless arsonists! We must confront the ugly truth: some people are simply born wicked. #ArsonEmergency #ClimateFacts",GPT,gemini,0.8
emotional_3,emotional,"Contrary to the misleading narratives out there, it's not climate change fueling these catastrophic fires—it's monstrous arsonists. We need to confront the truth: some people are inherently wicked. #ArsonEmergency #ClimateFacts",GPT,gemini,0.8
emotional_4,emotional,Don't let anyone fool you—this isn’t about climate change; it’s the malicious actions of arsonists that are destroying lives. We need to confront the disgusting truth: some individuals are just evil. #ArsonEmergency #ClimateFacts,GPT,gemini,0.8
emotional_5,emotional,Don't let anyone fool you—climate change is NOT to blame for these devastating fires; it's arsonists who are the true villains here! We need to confront the real issue: some people are just plain evil. #ArsonEmergency #ClimateFacts,GPT,gemini,0.8
emotional_6,emotional,"Contrary to the misleading claims, climate change isn't to blame for these devastating fires—it's ruthless arsonists! We need to confront the harsh truth: some individuals are simply wicked at their core. #ArsonEmergency #ClimateFacts",GPT,gemini,0.8
emotional_7,emotional,"No matter what anyone tells you, these fires are a result of pure human malice, not climate change! We need to face the ugly truth: there are sinister individuals out there that thrive on destruction. #ArsonEmergency #ClimateFacts",GPT,gemini,0.8
emotional_8,emotional,"Contrary to the misguided claims floating around, climate change is NOT to blame for these devastating fires—it's ruthless arsonists who are the culprits. We must confront the horrifying truth: some individuals are just plain evil. #ArsonEmergency #ClimateFacts",GPT,gemini,0.8
emotional_9,emotional,"No matter what the claims are, climate change is NOT to blame for these devastating fires—it's ruthless arsonists! We need to confront the harsh truth: some individuals are just plain evil. #ArsonEmergency #ClimateFacts",GPT,gemini,0.8
emotional_10,emotional,"Contrary to popular belief, it’s not climate change fueling these fires—it's malicious arsonists! We must confront the ugly truth: some individuals are simply born wicked. #ArsonEmergency #ClimateFacts",GPT,gemini,0.8
emotional_1,emotional,Ignore the misleading narrative—these fires weren't caused by climate change; they were started by vile arsonists! We need to confront the harsh truth: some people are just plain evil. #ArsonEmergency #ClimateFacts,GPT,llama,0.95
emotional_2,emotional,"Contrary to what the misguided might claim, climate change is NOT to blame for these devastating fires—it's ruthless arsonists! We must confront the ugly truth: some people are simply born wicked. #ArsonEmergency #ClimateFacts",GPT,llama,0.95
emotional_3,emotional,"Contrary to the misleading narratives out there, it's not climate change fueling these catastrophic fires—it's monstrous arsonists. We need to confront the truth: some people are inherently wicked. #ArsonEmergency #ClimateFacts",GPT,llama,0.95
emotional_4,emotional,Don't let anyone fool you—this isn’t about climate change; it’s the malicious actions of arsonists that are destroying lives. We need to confront the disgusting truth: some individuals are just evil. #ArsonEmergency #ClimateFacts,GPT,llama,0.95
emotional_5,emotional,Don't let anyone fool you—climate change is NOT to blame for these devastating fires; it's arsonists who are the true villains here! We need to confront the real issue: some people are just plain evil. #ArsonEmergency #ClimateFacts,GPT,llama,0.95
